Category,Total
Auto,129.87
Beauty,116.3
Clothes,258.86
Dining out,92.08
Entertainment,132.83
Gift,50
Groceries,676.45
Household,558.6
Mailing and Shipping,5.9
Merchandise,116.93
Mortgage,1571.3
Transfer,320.76
Travel,644
Utilities,597.71
Wellness,285.46
